YEAR,NEWSFROM,HAPPY,RELIG,GRASS,COURTS,ENERGY,EDUC,ENVIR,POLVIEWS,PARTYID,REGION,INCOME,SEX,DEGREE,AGE,MARITAL,BALLOT
2012,The internet,Very happy,Other,Don't know,Not harsh enough,Too little,Too little,Too little,Slightly liberal,Democrat,Pacific,$25000 or more,Female,High school,48,Married,Ballot c
2012,Tv,Very happy,Christian,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Conservative,Republican,Mountain,$25000 or more,Male,High school,42,Married,Ballot b
2012,The internet,Pretty happy,Protestant,Legal,Not harsh enough,Too little,Too little,About right,Slghtly conservative,Republican,Mountain,$25000 or more,Female,High school,39,Married,Ballot c
2012,Not applicable,Not too happy,None,Don't know,Too harsh,About right,Don't know,About right,Moderate,Independent,Mountain,$4000 to 4999,Female,Lt high school,27,Never married,Ballot b
2012,Tv,Very happy,Catholic,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Extrmly conservative,Republican,Mountain,$15000 - 19999,Female,High school,45,Married,Ballot b
2012,Not applicable,Pretty happy,None,Not applicable,Too harsh,Too little,Not applicable,Not applicable,Slghtly conservative,Democrat,Mountain,$25000 or more,Male,High school,42,Married,Ballot a
2012,Not applicable,Not too happy,Christian,Not legal,Not harsh enough,Too little,Too little,About right,Moderate,Independent,Mountain,$25000 or more,Male,High school,48,Married,Ballot b
2012,Tv,Pretty happy,Protestant,Legal,About right,Too much,Not applicable,Not applicable,Slghtly conservative,Independent,Mountain,$25000 or more,Female,High school,69,Married,Ballot c
2012,Not applicable,Pretty happy,Catholic,Not applicable,Too harsh,Too little,Too little,Too little,Moderate,Independent,Mountain,$25000 or more,Male,High school,18,Never married,Ballot a
2012,Not applicable,Pretty happy,None,Not applicable,Don't know,About right,Not applicable,Not applicable,Moderate,Independent,Mountain,$25000 or more,Male,High school,37,Married,Ballot a
2012,Tv,Very happy,Christian,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Slightly liberal,Democrat,Mountain,$25000 or more,Female,Junior college,33,Married,Ballot c
2012,The internet,Pretty happy,Catholic,Legal,Not harsh enough,About right,Not applicable,Not applicable,Slightly liberal,Republican,Mountain,$25000 or more,Female,High school,49,Never married,Ballot b
2012,The internet,Pretty happy,Protestant,Legal,Not harsh enough,Too little,Too little,About right,Slghtly conservative,Independent,Mountain,Refused,Female,Bachelor,39,Married,Ballot c
2012,Not applicable,Very happy,Protestant,Not legal,Not harsh enough,About right,Too little,About right,Moderate,Independent,Mountain,$25000 or more,Female,Lt high school,44,Married,Ballot b
2012,Tv,Not too happy,Christian,Not legal,Not harsh enough,About right,Not applicable,Not applicable,Conservative,Independent,Mountain,$6000 to 6999,Male,Lt high school,53,Never married,Ballot b
2012,The internet,Pretty happy,Native american,Not legal,Too harsh,About right,About right,About right,Moderate,Democrat,Mountain,$6000 to 6999,Male,High school,25,Never married,Ballot c
2012,Not applicable,Very happy,Protestant,Not legal,Not harsh enough,Too little,Too little,About right,Slghtly conservative,Republican,Mountain,$25000 or more,Female,Bachelor,45,Married,Ballot b
2012,Newspapers,Pretty happy,Catholic,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,Mountain,$25000 or more,Male,High school,24,Married,Ballot b
2012,The internet,Very happy,None,Legal,Too harsh,Too little,Not applicable,Not applicable,Extremely liberal,Democrat,Mountain,$25000 or more,Female,High school,59,Never married,Ballot c
2012,Not applicable,Pretty happy,None,Not applicable,About right,About right,Too little,Too little,Liberal,Independent,Mountain,$25000 or more,Female,High school,27,Never married,Ballot a
2012,The internet,Not too happy,Catholic,Legal,Too harsh,About right,Not applicable,Not applicable,Extremely liberal,Democrat,Mountain,$25000 or more,Male,Graduate,54,Divorced,Ballot b
2012,Not applicable,Very happy,None,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,Mountain,$25000 or more,Female,High school,26,Never married,Ballot a
2012,Family,Pretty happy,Protestant,Not legal,Not harsh enough,Too little,Too little,Too little,Moderate,Republican,Mountain,Don't know,Female,High school,86,Widowed,Ballot c
2012,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,Too much,Too much,Too much,Extrmly conservative,Republican,Mountain,$25000 or more,Female,High school,63,Divorced,Ballot b
2012,Not applicable,Very happy,Protestant,Not applicable,Not harsh enough,Don't know,Not applicable,Not applicable,Moderate,Independent,W. nor. central,$25000 or more,Female,High school,27,Never married,Ballot a
2012,Tv,Pretty happy,Protestant,Not legal,Don't know,About right,Not applicable,Not applicable,Moderate,Democrat,W. nor. central,$20000 - 24999,Male,High school,52,Divorced,Ballot c
2012,Not applicable,Not too happy,Protestant,Not applicable,Not harsh enough,Too little,About right,About right,Moderate,Democrat,W. nor. central,$3000 to 3999,Female,Lt high school,50,Never married,Ballot a
2012,Tv,Pretty happy,Protestant,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,W. nor. central,$3000 to 3999,Female,High school,36,Never married,Ballot b
2012,The internet,Pretty happy,Catholic,Not legal,About right,Too little,Too little,About right,Moderate,Independent,W. nor. central,Lt $1000,Male,High school,38,Never married,Ballot c
2012,Tv,Not too happy,Catholic,Legal,Not harsh enough,About right,Not applicable,Not applicable,Moderate,Democrat,W. nor. central,$25000 or more,Female,High school,73,Divorced,Ballot c
2012,The internet,Pretty happy,Protestant,Legal,Not harsh enough,Too little,Too little,Too little,Slghtly conservative,Republican,W. nor. central,$25000 or more,Male,Bachelor,51,Divorced,Ballot c
2012,Not applicable,Not too happy,Catholic,Legal,Not harsh enough,About right,Too little,About right,Liberal,Democrat,W. nor. central,$20000 - 24999,Female,High school,41,Never married,Ballot b
2012,Tv,Not too happy,Protestant,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Liberal,Independent,W. nor. central,$25000 or more,Male,High school,36,Married,Ballot c
2012,Newspapers,Very happy,Protestant,Legal,Don't know,Too little,Too little,Too little,Moderate,Independent,W. nor. central,Refused,Female,Graduate,54,Married,Ballot c
2012,Not applicable,Pretty happy,None,Not applicable,Don't know,Too little,Too little,Too little,Extremely liberal,Democrat,W. nor. central,$25000 or more,Female,Bachelor,39,Divorced,Ballot a
2012,Not applicable,Pretty happy,Catholic,Legal,Not harsh enough,Too little,Too little,Too little,Slightly liberal,Democrat,W. nor. central,$25000 or more,Female,Junior college,61,Married,Ballot b
2012,Not applicable,Pretty happy,Christian,Not legal,Not harsh enough,Too little,Too little,Too little,Moderate,Independent,E. nor. central,$15000 - 19999,Male,High school,21,Never married,Ballot b
2012,Tv,Pretty happy,Protestant,Don't know,Don't know,Too little,Not applicable,Not applicable,Liberal,Democrat,E. nor. central,$25000 or more,Male,High school,76,Married,Ballot c
2012,The internet,Pretty happy,None,Not legal,Not harsh enough,Too little,Too little,Too little,Moderate,Independent,E. nor. central,$25000 or more,Female,High school,23,Never married,Ballot c
2012,Tv,Very happy,Catholic,Don't know,Don't know,Too little,Not applicable,Not applicable,Moderate,Independent,E. nor. central,$25000 or more,Female,High school,63,Divorced,Ballot c
2012,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,About right,Too little,Too little,Slightly liberal,Democrat,Pacific,$25000 or more,Female,Graduate,45,Divorced,Ballot a
2012,Tv,Very happy,Catholic,Not legal,Don't know,Too much,Too little,About right,Moderate,Independent,Pacific,$25000 or more,Female,Lt high school,26,Married,Ballot c
2012,Not applicable,Not too happy,Catholic,Legal,Not harsh enough,Too little,Too little,About right,Slightly liberal,Independent,Pacific,$20000 - 24999,Male,Lt high school,36,Married,Ballot b
2012,Tv,Pretty happy,Protestant,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Slightly liberal,Independent,Pacific,$25000 or more,Male,Bachelor,64,Married,Ballot c
2012,Tv,Very happy,Catholic,Not legal,Too harsh,Too little,Not applicable,Not applicable,Moderate,Democrat,Pacific,$25000 or more,Male,Lt high school,46,Married,Ballot b
2012,Not applicable,Very happy,Catholic,Legal,Not harsh enough,Too little,Too little,Too little,Moderate,Independent,Pacific,$25000 or more,Female,High school,69,Married,Ballot b
2012,Not applicable,Very happy,Catholic,Not applicable,Not harsh enough,About right,Not applicable,Not applicable,Moderate,Independent,Pacific,$25000 or more,Female,High school,43,Married,Ballot a
2012,Newspapers,Not too happy,Catholic,Not legal,Not harsh enough,About right,Not applicable,Not applicable,Conservative,Democrat,Pacific,$10000 - 14999,Female,Bachelor,57,Separated,Ballot c
2012,Not applicable,Very happy,Catholic,Not legal,Not harsh enough,Too little,Too little,About right,Slightly liberal,Independent,Pacific,$20000 - 24999,Male,High school,34,Married,Ballot b
2012,Tv,Very happy,Protestant,Not legal,Too harsh,About right,Not applicable,Not applicable,Moderate,Independent,Pacific,$10000 - 14999,Male,Lt high school,30,Married,Ballot b
2012,Not applicable,Very happy,Catholic,Not applicable,Not harsh enough,About right,About right,About right,Slghtly conservative,Republican,Pacific,$25000 or more,Male,Bachelor,28,Never married,Ballot a
2012,The internet,Pretty happy,Catholic,Not legal,About right,Too little,Not applicable,Not applicable,Moderate,Independent,Pacific,$25000 or more,Male,High school,23,Never married,Ballot c
2012,The internet,Pretty happy,Protestant,Legal,Not harsh enough,About right,Not applicable,Not applicable,Conservative,Republican,Mountain,$25000 or more,Male,High school,29,Married,Ballot b
2012,Tv,Very happy,None,Legal,Too harsh,Too little,Too little,Too little,Liberal,Democrat,Mountain,$25000 or more,Female,Graduate,54,Married,Ballot c
2012,Not applicable,Pretty happy,Christian,Not applicable,Not harsh enough,Too much,Not applicable,Not applicable,Conservative,Republican,Mountain,$25000 or more,Male,High school,57,Married,Ballot a
2012,Not applicable,Pretty happy,Protestant,Not legal,Not harsh enough,About right,About right,About right,Moderate,Independent,Mountain,$25000 or more,Female,High school,67,Married,Ballot b
2012,Not applicable,Very happy,Protestant,Not legal,Not harsh enough,Too little,Too little,Too little,Slghtly conservative,Republican,Mountain,$25000 or more,Female,High school,27,Married,Ballot b
2012,The internet,Pretty happy,Protestant,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Conservative,Republican,Mountain,$25000 or more,Female,Bachelor,43,Married,Ballot c
2012,The internet,Pretty happy,Don't know,Legal,Not harsh enough,Too much,Not applicable,Not applicable,Conservative,Independent,Mountain,$25000 or more,Male,High school,42,Married,Ballot b
2012,Not applicable,Pretty happy,None,Not legal,Not harsh enough,Too little,Too little,Too little,Moderate,Democrat,Mountain,$20000 - 24999,Female,Junior college,35,Never married,Ballot b
2012,Not applicable,Very happy,Christian,Legal,Not harsh enough,Too little,Too little,Too little,Liberal,Democrat,Mountain,$25000 or more,Female,Bachelor,30,Married,Ballot b
2012,Not applicable,Very happy,None,Not applicable,Too harsh,Too little,Too little,Too little,Moderate,Other,Mountain,$25000 or more,Male,Junior college,55,Divorced,Ballot a
2012,Tv,Pretty happy,Protestant,Legal,Not harsh enough,Too much,Too little,Too little,Moderate,Democrat,Mountain,$25000 or more,Female,Junior college,53,Widowed,Ballot c
2012,Not applicable,Very happy,None,Not legal,Too harsh,About right,Too little,About right,Slightly liberal,Independent,Mountain,$25000 or more,Male,Lt high school,18,Never married,Ballot b
2012,Not applicable,Not too happy,None,Not applicable,Too harsh,Too little,Too little,Too little,Moderate,Independent,Mountain,$10000 - 14999,Male,Graduate,40,Never married,Ballot a
2012,The internet,Pretty happy,None,Legal,About right,Too little,Not applicable,Not applicable,Slightly liberal,Independent,Mountain,$25000 or more,Male,High school,25,Never married,Ballot b
2012,Not applicable,Very happy,None,Not applicable,About right,About right,Not applicable,Not applicable,Liberal,Democrat,Mountain,$25000 or more,Female,Graduate,54,Married,Ballot a
2012,The internet,Pretty happy,Catholic,Legal,No answer,Too much,Not applicable,Not applicable,Conservative,Republican,Mountain,Refused,Male,Bachelor,52,Married,Ballot c
2012,Friends colleagues,Pretty happy,Protestant,Legal,Not harsh enough,Too little,Too little,Too little,Liberal,Democrat,E. nor. central,$10000 - 14999,Female,High school,25,Married,Ballot c
2012,Not applicable,Very happy,None,Not applicable,Not harsh enough,About right,Too little,Too little,Liberal,Democrat,E. nor. central,$25000 or more,Male,High school,28,Married,Ballot a
2012,Tv,Not too happy,Protestant,Not legal,Don't know,Too little,Not applicable,Not applicable,Moderate,Independent,E. nor. central,$25000 or more,Male,High school,74,Divorced,Ballot b
2012,Newspapers,Pretty happy,Protestant,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,E. nor. central,$25000 or more,Male,Bachelor,89 or older,Widowed,Ballot b
2012,Not applicable,Very happy,Protestant,Not legal,Not harsh enough,Too little,Too little,Too little,Moderate,Independent,E. nor. central,$20000 - 24999,Male,Lt high school,77,Married,Ballot b
2012,Not applicable,Pretty happy,None,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Democrat,E. nor. central,$25000 or more,Female,High school,24,Never married,Ballot a
2012,Newspapers,Pretty happy,Protestant,Not legal,Not harsh enough,About right,Not applicable,Not applicable,Slightly liberal,Democrat,E. nor. central,$25000 or more,Female,High school,72,Married,Ballot c
2012,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,Too little,Too little,Too little,Don't know,Independent,E. nor. central,$15000 - 19999,Female,High school,70,Widowed,Ballot a
2012,Tv,Pretty happy,None,Don't know,Not harsh enough,About right,Not applicable,Not applicable,Liberal,Democrat,E. nor. central,$25000 or more,Male,High school,84,Married,Ballot b
2012,Tv,Not too happy,Protestant,Not legal,Not harsh enough,About right,About right,About right,Moderate,Democrat,E. nor. central,$10000 - 14999,Female,High school,73,Divorced,Ballot c
2012,Not applicable,Pretty happy,Catholic,Not legal,Not harsh enough,Too little,Too little,Too little,Slightly liberal,Democrat,E. nor. central,$20000 - 24999,Male,High school,57,Divorced,Ballot b
2012,Not applicable,Pretty happy,Protestant,Not applicable,About right,Too little,Too little,Too little,Liberal,Independent,E. nor. central,$25000 or more,Female,Graduate,47,Married,Ballot a
2012,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Republican,E. nor. central,$4000 to 4999,Female,High school,49,Never married,Ballot a
2012,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,Too much,Too little,Too little,Slightly liberal,Democrat,E. nor. central,$25000 or more,Female,High school,51,Divorced,Ballot a
2012,The internet,Pretty happy,Protestant,Legal,About right,About right,Not applicable,Not applicable,Extremely liberal,Democrat,E. nor. central,$25000 or more,Female,Lt high school,53,Never married,Ballot c
2012,The internet,Pretty happy,Catholic,Legal,Not harsh enough,Too little,Too little,About right,Moderate,Independent,E. nor. central,$10000 - 14999,Male,High school,65,Separated,Ballot c
2012,Not applicable,Pretty happy,Protestant,Not legal,Not harsh enough,Too little,Too little,Too little,Extremely liberal,Independent,E. nor. central,$10000 - 14999,Female,High school,55,Divorced,Ballot b
2012,Not applicable,Pretty happy,None,Not applicable,Not harsh enough,About right,Too little,Too little,Liberal,Democrat,E. nor. central,$15000 - 19999,Male,Bachelor,57,Divorced,Ballot a
2012,Tv,Pretty happy,None,Legal,About right,Too little,Too little,About right,Slightly liberal,Independent,E. nor. central,$25000 or more,Male,High school,38,Never married,Ballot c
2012,The internet,Not too happy,Catholic,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Slightly liberal,Democrat,E. nor. central,$25000 or more,Female,High school,49,Separated,Ballot c
2012,Not applicable,Pretty happy,Christian,Not applicable,Not harsh enough,Too little,Too little,Too little,Conservative,Republican,E. nor. central,$25000 or more,Male,High school,54,Divorced,Ballot a
2012,Friends colleagues,Very happy,None,Legal,Too harsh,About right,Not applicable,Not applicable,Slightly liberal,Democrat,E. nor. central,$25000 or more,Male,High school,21,Never married,Ballot b
2012,The internet,Pretty happy,None,Not legal,Not harsh enough,Too little,Too little,Too little,Moderate,Democrat,E. nor. central,$10000 - 14999,Male,High school,20,Never married,Ballot c
2012,Not applicable,Pretty happy,Protestant,Not legal,No answer,Too little,Too little,About right,Moderate,Democrat,E. nor. central,Refused,Female,High school,76,Married,Ballot b
2012,Tv,Not too happy,Protestant,Legal,Not harsh enough,Too much,Not applicable,Not applicable,Liberal,Democrat,W. nor. central,$8000 to 9999,Male,Lt high school,66,Widowed,Ballot c
2012,Not applicable,Pretty happy,Protestant,Not legal,Not harsh enough,About right,Too little,Too little,Slghtly conservative,Democrat,W. nor. central,$25000 or more,Female,High school,43,Never married,Ballot b
2012,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,Too little,About right,Too little,Extremely liberal,Democrat,W. nor. central,$25000 or more,Female,High school,55,Never married,Ballot a
2012,Not applicable,Very happy,Protestant,Not legal,Not harsh enough,Too little,Too little,Too little,Slightly liberal,Democrat,W. nor. central,$25000 or more,Female,Graduate,28,Divorced,Ballot b
2012,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,Too little,Too little,Too little,Slightly liberal,Independent,W. nor. central,$25000 or more,Female,High school,45,Married,Ballot a
2012,Newspapers,Pretty happy,Protestant,Don't know,Not harsh enough,Too much,Not applicable,Not applicable,Moderate,Democrat,W. nor. central,$20000 - 24999,Male,Lt high school,81,Widowed,Ballot b
2012,Tv,Pretty happy,Catholic,Not legal,Not harsh enough,Don't know,Too little,Don't know,Moderate,Democrat,W. nor. central,$25000 or more,Female,High school,76,Widowed,Ballot c
2012,Not applicable,Pretty happy,None,Legal,About right,Too little,Too little,Too little,Moderate,Independent,W. nor. central,$20000 - 24999,Female,High school,45,Widowed,Ballot b
2012,Tv,Pretty happy,Catholic,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,W. nor. central,$25000 or more,Male,High school,62,Married,Ballot c
2012,The internet,Pretty happy,Catholic,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Slghtly conservative,Democrat,W. nor. central,$25000 or more,Male,High school,62,Widowed,Ballot b
2012,Not applicable,Pretty happy,Catholic,Not applicable,Not harsh enough,About right,Not applicable,Not applicable,Moderate,Democrat,W. nor. central,$25000 or more,Female,Bachelor,29,Married,Ballot a
2012,The internet,Pretty happy,Hinduism,Not legal,About right,About right,Too little,Too little,Moderate,Independent,W. nor. central,$25000 or more,Male,Graduate,31,Married,Ballot c
2012,Radio,Pretty happy,None,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,W. nor. central,Don't know,Male,High school,32,Never married,Ballot b
2012,Not applicable,Very happy,Protestant,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Extrmly conservative,Republican,W. nor. central,$25000 or more,Male,High school,41,Married,Ballot a
2012,Not applicable,Very happy,Catholic,Not legal,Not harsh enough,Too little,Too little,Too little,Slghtly conservative,Republican,W. nor. central,$25000 or more,Female,Bachelor,30,Married,Ballot b
2012,Tv,Pretty happy,Protestant,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,W. nor. central,$25000 or more,Female,Bachelor,64,Widowed,Ballot c
2012,Not applicable,Pretty happy,Christian,Not applicable,Don't know,About right,Too much,Too much,Conservative,Republican,W. nor. central,Don't know,Male,High school,50,Divorced,Ballot a
2012,Newspapers,Pretty happy,Catholic,Not legal,Not harsh enough,About right,Not applicable,Not applicable,Moderate,Democrat,W. nor. central,$25000 or more,Male,High school,22,Never married,Ballot b
2012,Not applicable,Pretty happy,Catholic,Legal,Not harsh enough,About right,Too little,About right,Moderate,Democrat,W. nor. central,$10000 - 14999,Female,Lt high school,22,Never married,Ballot b
2012,Tv,Pretty happy,Protestant,Not legal,Not harsh enough,About right,Too little,About right,Moderate,Democrat,W. nor. central,$15000 - 19999,Female,Bachelor,54,Never married,Ballot c
2012,Not applicable,Not too happy,Jewish,Not legal,Not harsh enough,About right,About right,About right,Moderate,Democrat,South atlantic,$25000 or more,Female,High school,76,Widowed,Ballot b
2012,Tv,Not too happy,Other,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,South atlantic,$25000 or more,Male,Junior college,66,Married,Ballot c
2012,Newspapers,Not too happy,Protestant,Legal,Not harsh enough,About right,Not applicable,Not applicable,Slghtly conservative,Republican,South atlantic,$25000 or more,Male,Bachelor,64,Divorced,Ballot b
2012,Not applicable,Pretty happy,Christian,Not legal,Not harsh enough,Too little,Too much,Don't know,Conservative,Republican,South atlantic,Refused,Female,Bachelor,56,Married,Ballot b
2012,Other,Pretty happy,Christian,Legal,Not harsh enough,About right,Too little,About right,Moderate,Independent,South atlantic,$25000 or more,Female,Lt high school,19,Never married,Ballot c
2012,Not applicable,Pretty happy,Protestant,Not legal,Not harsh enough,Too much,Too little,About right,Slightly liberal,Democrat,South atlantic,$25000 or more,Female,High school,45,Married,Ballot b
2012,Not applicable,Very happy,Protestant,Not applicable,Not harsh enough,Too little,Too little,Too little,Moderate,Independent,South atlantic,Refused,Female,Bachelor,47,Married,Ballot a
2012,Not applicable,Pretty happy,Protestant,Not applicable,Too harsh,Too little,About right,Too little,Moderate,Independent,South atlantic,$25000 or more,Male,High school,20,Never married,Ballot a
2012,Tv,Pretty happy,Protestant,Legal,About right,Too little,Not applicable,Not applicable,Moderate,Democrat,South atlantic,$25000 or more,Male,High school,44,Married,Ballot b
2012,Not applicable,Pretty happy,Hinduism,Not applicable,Not harsh enough,Too little,Too little,Too little,Moderate,Democrat,South atlantic,$25000 or more,Male,Junior college,24,Never married,Ballot a
2012,The internet,Very happy,Christian,Not legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,South atlantic,$25000 or more,Female,Bachelor,49,Married,Ballot b
2012,Not applicable,Pretty happy,Protestant,Legal,Not harsh enough,Too little,Too little,About right,Moderate,Democrat,South atlantic,$25000 or more,Female,High school,67,Divorced,Ballot b
2012,Tv,Pretty happy,None,Legal,Not harsh enough,Too much,Not applicable,Not applicable,Liberal,Independent,South atlantic,$25000 or more,Male,High school,48,Divorced,Ballot b
2012,Books other printed material,Not too happy,Protestant,Legal,Not harsh enough,Too little,Too little,Too little,Extrmly conservative,Republican,South atlantic,$6000 to 6999,Female,High school,47,Separated,Ballot c
2012,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,Too little,Too little,Too little,Slghtly conservative,Republican,South atlantic,$25000 or more,Female,High school,75,Married,Ballot a
2012,Newspapers,Very happy,Protestant,Don't know,Not harsh enough,Too little,Not applicable,Not applicable,Slghtly conservative,Republican,South atlantic,$25000 or more,Female,High school,76,Married,Ballot c
2012,Not applicable,Pretty happy,Protestant,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Republican,South atlantic,$25000 or more,Female,Lt high school,51,Divorced,Ballot a
2012,Friends colleagues,Very happy,None,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Liberal,Independent,South atlantic,$25000 or more,Male,High school,37,Married,Ballot c
2012,Newspapers,Not too happy,Protestant,Not legal,Don't know,About right,Not applicable,Not applicable,Moderate,Democrat,South atlantic,$25000 or more,Female,High school,43,Never married,Ballot b
2012,Not applicable,Very happy,Protestant,Not applicable,Not harsh enough,About right,Not applicable,Not applicable,Slghtly conservative,Republican,South atlantic,$25000 or more,Female,High school,22,Never married,Ballot a
2012,Not applicable,Pretty happy,Protestant,Not applicable,Don't know,Too little,Too little,Too little,Moderate,Independent,South atlantic,$25000 or more,Male,High school,41,Never married,Ballot a
2012,Tv,Pretty happy,Catholic,Legal,Too harsh,About right,Too little,Too little,Moderate,Democrat,South atlantic,$25000 or more,Male,High school,24,Never married,Ballot c
2012,Not applicable,Pretty happy,Catholic,Not applicable,About right,About right,Not applicable,Not applicable,Moderate,Independent,South atlantic,Don't know,Female,Lt high school,43,Married,Ballot a
2012,Tv,Very happy,Protestant,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Slghtly conservative,Republican,South atlantic,$20000 - 24999,Female,High school,66,Divorced,Ballot c
2012,Tv,Pretty happy,Protestant,Not legal,Too harsh,About right,Not applicable,Not applicable,Slightly liberal,Democrat,South atlantic,$20000 - 24999,Female,High school,47,Never married,Ballot c
2012,Tv,Pretty happy,Catholic,Not legal,Not harsh enough,Too little,Too little,Too little,Moderate,Democrat,South atlantic,$25000 or more,Male,Bachelor,50,Married,Ballot c
2012,The internet,Pretty happy,Protestant,Not legal,Not harsh enough,Too little,Too little,Too little,Slghtly conservative,Republican,South atlantic,$15000 - 19999,Male,Junior college,57,Married,Ballot c
2012,Not applicable,Pretty happy,None,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Democrat,South atlantic,$25000 or more,Male,High school,56,Married,Ballot a
2012,Not applicable,Pretty happy,None,Legal,Don't know,Too little,Too little,Too little,Slightly liberal,Independent,South atlantic,$25000 or more,Female,High school,22,Never married,Ballot b
2012,The internet,Pretty happy,Protestant,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Conservative,Republican,South atlantic,$25000 or more,Male,Bachelor,61,Married,Ballot c
2012,Not applicable,Very happy,None,Legal,Not harsh enough,Don't know,Too little,About right,Liberal,Other,South atlantic,$25000 or more,Female,High school,26,Married,Ballot b
2012,The internet,Pretty happy,Protestant,Legal,Don't know,Too little,Not applicable,Not applicable,Moderate,Independent,South atlantic,$6000 to 6999,Female,Bachelor,42,Divorced,Ballot c
2012,Not applicable,Very happy,Catholic,Not applicable,Not harsh enough,Too little,Too little,Too little,Conservative,Independent,South atlantic,Refused,Male,Junior college,87,Married,Ballot a
2012,Newspapers,Pretty happy,Catholic,Legal,About right,Too little,Too little,Too little,Moderate,Independent,South atlantic,$25000 or more,Male,Bachelor,32,Married,Ballot c
2012,The internet,Very happy,Protestant,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,South atlantic,$25000 or more,Male,Bachelor,42,Married,Ballot c
2012,Newspapers,Pretty happy,Protestant,Not legal,Not harsh enough,Don't know,Not applicable,Not applicable,Conservative,Republican,South atlantic,$25000 or more,Female,High school,89 or older,Widowed,Ballot b
2012,The internet,Pretty happy,Protestant,Legal,About right,Too much,Too much,About right,Conservative,Republican,Pacific,$25000 or more,Female,High school,55,Divorced,Ballot c
2012,Not applicable,Very happy,Protestant,Not applicable,Don't know,Too little,Not applicable,Not applicable,Moderate,Independent,Pacific,$25000 or more,Female,Bachelor,38,Divorced,Ballot a
2012,Tv,Pretty happy,Catholic,Not legal,Not harsh enough,Too much,Not applicable,Not applicable,Conservative,Independent,Pacific,$25000 or more,Male,Junior college,62,Married,Ballot c
2012,Not applicable,Pretty happy,Protestant,Not applicable,About right,Too much,Too much,Too much,Extrmly conservative,Republican,Pacific,$25000 or more,Male,Bachelor,51,Married,Ballot a
2012,Tv,Not too happy,Other,Legal,Don't know,About right,Not applicable,Not applicable,Moderate,Democrat,Pacific,$15000 - 19999,Female,Junior college,27,Married,Ballot c
2012,The internet,Pretty happy,Protestant,Legal,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Independent,Pacific,$25000 or more,Male,Lt high school,36,Divorced,Ballot b
2012,Not applicable,Not too happy,Protestant,Not applicable,Too harsh,About right,Not applicable,Not applicable,Moderate,Independent,Pacific,$25000 or more,Female,High school,34,Married,Ballot a
2012,The internet,Pretty happy,Buddhism,Don't know,Don't know,Too little,Too little,About right,Don't know,Independent,Pacific,$25000 or more,Female,Bachelor,36,Married,Ballot c
2012,Not applicable,Very happy,Christian,Not applicable,Don't know,Too much,Too little,Too much,Slghtly conservative,Independent,Pacific,$15000 - 19999,Male,Junior college,29,Never married,Ballot a
2012,Tv,Very happy,None,Not legal,Don't know,Don't know,Not applicable,Not applicable,Don't know,Independent,Pacific,Refused,Female,High school,42,Married,Ballot b
2012,Not applicable,Very happy,Christian,Not applicable,Not harsh enough,Too little,Not applicable,Not applicable,Moderate,Republican,Pacific,$25000 or more,Male,Junior college,51,Married,Ballot a
2012,Tv,Very happy,Catholic,Legal,Don't know,Too little,Too little,About right,Moderate,Democrat,Pacific,$20000 - 24999,Male,High school,25,Never married,Ballot c
